Name,LEP_pct,LowIncome_pct,Disability_pct,SV_key_nb,Canopy_pct,ObjectId,Shape__Area,Shape__Length,Social Vulnerability Quartile
Allston-Brighton,38.52776,29.77066,8.627015,68.29842,22.88,1,18015284.3828125,23415.6815909339,
Back Bay/Beacon Hill,31.69309,18.56534,6.60753,50.25843,21.19,2,5780995.03515625,44060.8515050322,
Central Boston,37.46079,24.08052,8.371001,61.54131,8.87,3,7191493.265625,21602.4260374643,
Charlestown,36.30391,25.28743,9.337551,61.59134,11.76,4,6420147.71875,25789.3692737842,
Dorchester,42.01736,32.64079,14.08853,74.65815,22.48,5,22311203.3125,50577.5468755217,
East Boston,44.04324,33.80803,12.78476,77.85127,7.37,6,25455690.1289063,53047.4838402068,
Fenway/Longwood,23.04447,21.46004,4.522017,44.50452,18.65,7,5022871.13671875,25783.6220753505,
Harbor Islands,67.47664,65.23364,33.45794,132.7103,26.84,8,6071246.02734375,36865.7971223542,
Hyde Park,29.55683,16.17727,12.76455,45.7341,40.95,9,9473515.65234375,19958.7661171155,
Jamaica Plain,41.10199,30.733,10.81631,71.83498,44.69,10,19789667.6992188,36243.8276640427,
Mattapan,41.09597,28.79195,16.932,69.88792,35.59,11,11607701.0234375,20426.3979585143,
Mission Hill,46.04004,39.28508,9.811304,85.32513,25.41,12,3852255.05078125,15813.3485490941,
Roslindale,31.94857,18.44915,11.94955,50.39772,33.99,13,39447500.3945313,37071.975698995,
Roxbury,51.33784,42.75947,16.20701,94.09731,25.8,14,18970627.6445313,28681.6902376021,
South Boston,31.71052,21.60131,8.864619,53.31182,8.37,15,9244996.71484375,31599.8826216859,
South End,36.05769,27.40993,11.40458,63.46762,19.22,16,5197097.6328125,16291.9834379357,
West Roxbury,31.60509,15.78076,11.24085,47.38585,42.79,17,21037074.1367188,36066.1791254989,
